Location,Freshwater mites,Alderfly larvae,Stonefly nymph,Olive Mayfly nymph,Flattened mayfly nymph,Striped mayfly nymph,Cased caddis fly larva (small stones),Cased caddis fly larva (fine sand),Cased caddis fly larva (stones and debris),Cased caddis fly larva (vegetation only),Caseless caddis fly larva (brown),Caseless caddis fly larva (green),Dragonfly larva,Elmid beetle and larva,Small diving beetle and larva,Cranefly larva (Tipula),Cranefly larva (Dicranota),Flatworms,Blackfly larva,Tubifex worm,"Midge larva (green, brown and transparent)",Midge larva (red),Leeches,Slugs,Freshwater shrimp,Snails
Inside,0,0,0,0,0,0,36,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,5,1,46,0
Outside,0,0,0,0,40,0,41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,0
Inside,0,1,0,0,43,0,0,0,15,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,7,0
Outside,1,0,0,0,0,0,0,0,27,0,0,0,20,0,0,0,0,0,0,8,0,0,0,0,0,5
Inside,0,0,0,22,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0
Outside,0,0,0,20,41,0,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,1
Inside,2,0,0,24,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0
Outside,0,0,0,22,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
Inside,0,0,7,18,17,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside,0,0,12,0,42,24,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
